Terrain 1,,,,,,,,,,,
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
1,7,10,4,1,10,1,12,13,9,16,15
9,15,12,16,12,16,14,16,8,4,7,
2,8,5,2,3,5,2,3,12,15,10,14
10,16,15,14,8,6,7,4,7,8,3,5
Terrain 2,,,,,,,,,,,
3,2,6,5,10,4,3,10,11,1,12,13
11,12,16,8,14,7,6,7,6,16,5,4
4,3,7,9,2,12,13,11,14,13,9,
12,13,8,13,16,14,15,8,16,6,2,10
Terrain 3,,,,,,,,,,,
5,1,1,3,9,11,9,2,1,14,1,11
13,10,11,15,15,15,8,5,15,7,8,2
6,9,4,6,11,1,4,9,10,2,11,12
14,11,14,7,13,13,5,6,5,3,4,3
Pause,,,,,,,,,,,
7,4,2,1,4,2,10,1,2,5,6,1
8,5,3,10,5,3,11,13,3,10,13,7
15,6,9,11,6,8,12,14,4,11,14,8
16,14,13,12,7,9,16,15,9,12,15,16
