Terrain 1,,,,,,,,,,,
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
1,1,1,3,1,1,1,5,1,1
2,3,6,5,4,11,7,9,5,8
3,5,11,6,3,2,6,3,2,2
4,10,7,8,11,8,10,8,4,3
Terrain 2,,,,,,,,,,,
5,4,8,4,2,3,8,4,3,10
6,9,10,7,5,9,11,6,6,7
7,2,2,9,6,4,5,2,10,11
8,11,9,10,7,10,9,7,11,9
Pause,,,,,,,,,,,
9,6,3,1,8,5,2,1,7,4
10,7,4,2,9,6,3,10,8,5
11,8,5,11,10,7,4,11,9,6
