p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
Terrain 1,,,,,,,,,,,
3,5,3,5,3,1,2,4,1,1,2,4
4,8,9,11,6,9,8,7,10,11,9,6
7,9,1,2,5,6,5,2,3,4,6,8
8,10,7,4,9,8,9,10,11,9,10,9
Terrain 2,,,,,,,,,,,
1,6,8,1,4,5,1,3,2,2,1,1
2,7,10,3,8,10,6,8,5,6,4,7
5,4,2,6,2,4,3,5,4,3,5,2
6,11,11,10,7,11,10,11,8,7,8,10
Pause,,,,,,,,,,,
9,1,4,7,1,2,4,1,6,5,3,3
10,2,5,8,10,3,7,6,7,8,7,5
11,3,6,9,11,7,11,9,9,10,11,11
